8011A5D0,gSaveContext,SaveContext,0x1428
801D8E00,_string_n64dd_c,char,0x1
80121210,gN64ddIsLoaded,u8,0x1
8011BA00,gGameInfo,GameInfo*,0x4
8012BAA0,gSystemArena,Arena,0x10
801DC000,D_801DC000,struct_801DC000,0x4D10
801D9C30,D_801D9C30,struct_801D9C30,0x118
801D9D48,D_801D9D48,struct_801D9D48,0x14
80006280,gCurrentRegion,u32,0x4
8012BE40,gZBuffer,u16,0x25800
801E5EC0,LEOPiInfo,OSPiHandle*,0x4
801E5EC8,LEOPiDmaParam,,0x18
801E51A0,LEO_sys_data,,0xE8
801E5288,LEOcommandThread,,0x1B0
801E5438,LEOinterruptThread,OSThread,0x1B0
801E55E8,LEOcommandThreadStack,,0x400
801E59E8,LEOinterruptThreadStack,,0x400
801E5DE8,LEOcommand_que,OSMesgQueue,0x18
801E5E00,LEOevent_que,,0x18
801E5E18,LEOcontrol_que,OSMesgQueue,0x18
801E5E30,LEOdma_que,,0x18
801E5E48,LEOblock_que,,0x18
801E5E60,LEOevent_que_buf,,0x4
801E5E64,LEOcontrol_que_buf,,0x4
801E5E68,LEOdma_que_buf,,0x8
801E5E70,LEOblock_que_buf,,0x4
801E5E74,LEOwrite_pointer,,0x4
801E5E78,LEOcur_command,LEOCmd*,0x4
801E5E7C,LEOasic_bm_ctl_shadow,,0x4
801E5E80,LEOasic_seq_ctl_shadow,,0x4
801E5E84,LEOdrive_flag,,0x1
801E5E85,LEOclr_que_flag,,0x1
801E5E86,LEOrw_flags,vu16,0x2
801E5E88,LEOdisk_type,,0x1
801E5E90,LEOtgt_param,tgt_param_form,0xC
801E5E9C,LEO_country_code,,0x4
801D94F0,LEOfirmware_rev,,0x8
801D94F8,LEOBYTE_TBL1,,0x9
801D9504,LEOBYTE_TBL2,,0x12
801D9518,LEOVZONE_TBL,,0xE0
801D95F8,LEOZONE_SCYL_TBL,,0x20
801D9618,LEOVZONE_PZONEHD_TBL,,0x70
801D9688,LEOZONE_OUTERCYL_TBL,,0x10
801D9698,LEORAM_START_LBA,,0xE
801D96A8,LEORAM_BYTE,,0x1C
801D8DF0,__leoActive,,0x4
801E5EA0,LEOc2ctrl_que_buf,,0x4
801E5EA8,LEOc2ctrl_que,OSMesgQueue,0x18
801E5F80,LEO_TempBuffer,,0xF0
801E6070,LEOC2_Syndrome,,0x740
801E67B0,LEOc2_param,,0x10
801E5F70,asic_cur_status,u32,0x4
801D8D70,cmd_tbl,void (*)(),0x40
801D8DB0,system_read_cmd,LEOCmdRead,0x1C
801D93C0,system_lba,u8,0x8
801D8DD0,read_id_cmd,LEOCmdRead,0x1C
801D9470,leo_disk_id_lba,u8,0x2
801D9B70,ymdupper,u8,0x6
801D9B78,dayupper,u8,0x13
