80000A54,DmaMgr_DmaFromDriveRom
80000DF0,DmaMgr_SendRequest1
80001600,osDriveRomInit
80001890,StackCheck_Init
80001C7C,Sleep_Usec
80001CCC,Sleep_Msec
80001DB0,__osPiGetAccess
80001DF4,__osPiRelAccess
80001E20,osSendMesg
80001F70,osStopThread
80002030,osRecvMesg
800021D8,__ull_div
800022D8,__ll_mul
80002B4C,__osEnqueueThread
80002B94,__osPopThread
80002D70,osDestroyThread
80002E80,bzero
80002F20,osCreateThread
80003440,osWritebackDCache
800034C0,osViGetNextFramebuffer
80003BE0,osViBlack
80003CC0,osSetIntMask
80003FB0,osSetEventMesg
800040C0,osEPiStartDma
80004220,osCreateMesgQueue
80004250,osInvalDCache
80004480,osSetThreadPri
80004560,osGetThreadPri
800046E0,__osEPiRawStartDma
800048C0,osGetTime
80004DC0,bcopy
80005130,__osDisableInt
800051A0,__osRestoreInt
80005630,osEPiReadIo
80005800,osEPiWriteIo
80005EC0,osStartThread
80006010,__osSetHWIntrRoutine
800ACE60,func_800D31A0
800ACE90,IrqMgr_AddClient
800ACF1C,IrqMgr_RemoveClient
800ACF1C,func_800AD4C0
800AD51C,func_800AD51C
800AF734,Fault_AddHungupAndCrash
800C79B4,func_800F6B3C
800C7A54,func_800F6BDC
800CE9D0,PrintUtils_VPrintf
800D4550,bcmp
801CBE70,LeoGetAAdr2
801CF250,LeoGetKAdr
801CFD50,LeoGetAAdr
