80000BE4,DmaMgr_DmaFromDriveRom
80000F80,DmaMgr_SendRequest1
800017B0,osDriveRomInit
80001A40,StackCheck_Init
80001E2C,Sleep_Usec
80001E7C,Sleep_Msec
80001F60,__osPiGetAccess
80001FA4,__osPiRelAccess
80001FD0,osSendMesg
80002120,osStopThread
800021F0,osRecvMesg
80002398,__ull_div
80002498,__ll_mul
80002D0C,__osEnqueueThread
80002D54,__osPopThread
80002F30,osDestroyThread
80003040,bzero
800030E0,osCreateThread
80003600,osWritebackDCache
80003680,osViGetNextFramebuffer
80003DA0,osViBlack
80003E80,osSetIntMask
80004170,osSetEventMesg
80004280,osEPiStartDma
800043E0,osCreateMesgQueue
80004410,osInvalDCache
80004640,osSetThreadPri
80004720,osGetThreadPri
800048F0,__osEPiRawStartDma
80004AD0,osGetTime
80004FD0,bcopy
80005340,__osDisableInt
800053B0,__osRestoreInt
80005840,osEPiReadIo
80005B70,osEPiWriteIo
80006240,osStartThread
80006520,__osSetHWIntrRoutine
800AD430,func_800D31A0
800AD460,IrqMgr_AddClient
800AD4EC,IrqMgr_RemoveClient
800ADB30,func_800AD4C0
800ADB8C,func_800AD51C
800AFD94,Fault_AddHungupAndCrash
800C802C,func_800F6B3C
800C80CC,func_800F6BDC
800CF050,PrintUtils_VPrintf
800D4A20,bcmp
801CC550,LeoGetAAdr2
801CF930,LeoGetKAdr
801D0430,LeoGetAAdr
