makerom,0,1060,0,0
boot,1060,7950,1060,0
dmadata,7950,D8C0,7950,0
Audiobank,D8C0,39680,D8C0,0
Audioseq,39680,89100,39680,0
Audiotable,89100,4DA490,89100,0
link_animetion,4DA490,7400C0,4DA490,0
icon_item_static,741000,7CACA0,7400C0,0
icon_item_24_static,7CB000,7D6400,7C9D60,0
icon_item_field_static,7D7000,7E2930,7D5160,7DBBC0
icon_item_dungeon_static,7E3000,7E4D80,7DBBC0,7DC1E0
icon_item_gameover_static,7E5000,7E8C80,7DC1E0,7DDC20
icon_item_nes_static,7E9000,7F6C80,7DDC20,7E3600
icon_item_ger_static,7F7000,805B80,7E3600,7E8E00
icon_item_fra_static,806000,815480,7E8E00,7EE720
item_name_static,816000,872400,7EE720,0
map_name_static,873000,8A5400,84AB20,0
do_action_static,8A6000,8AE280,87CF20,0
message_static,8AF000,8B3180,8851A0,0
message_texture_static,8B4000,8B5200,889320,0
nes_font_static,8B6000,8BA580,88A520,0
nes_message_data_static,8BB000,8F3120,88EAA0,0
ger_message_data_static,8F4000,92F9A0,8C6BC0,0
fra_message_data_static,930000,967310,902560,0
staff_message_data_static,968000,968F50,939870,0
map_grand_static,969000,977350,93A7C0,0
map_i_static,978000,A66110,948B10,0
map_48x85_static,A67000,A88DE0,A36C20,0
code,A89000,B8A4F0,A58A00,AF2B80
n64dd,B8A4F0,B9D180,AF2B80,AFC890
ovl_title,B9D180,B9DB40,AFC890,AFD050
ovl_select,B9DB40,BA08A0,AFD050,AFEBB0
ovl_opening,BA08A0,BA0A00,AFEBB0,AFECE0
ovl_file_choose,BA0A00,BB10E0,AFECE0,B08320
ovl_kaleido_scope,BB10E0,BCDCE0,B08320,B174E0
ovl_player_actor,BCDCE0,BF4390,B174E0,B307E0
ovl_map_mark_data,BF4390,BFAEF0,B307E0,B30B90
ovl_En_Test,BFAEF0,C007A0,B30B90,B34060
ovl_En_GirlA,C007A0,C030C0,B34060,B354D0
ovl_En_Part,C030C0,C046D0,B354D0,B36500
ovl_En_Light,C046D0,C054C0,B36500,B36EC0
ovl_En_Door,C054C0,C06300,B36EC0,B37A80
ovl_En_Box,C06300,C07E30,B37A80,B38D60
ovl_En_Poh,C07E30,C0BFC0,B38D60,B3B7E0
ovl_En_Okuta,C0BFC0,C0E5A0,B3B7E0,B3D220
ovl_En_Bom,C0E5A0,C0F470,B3D220,B3DDD0
ovl_En_Wallmas,C0F470,C10E80,B3DDD0,B3EF70
ovl_En_Dodongo,C10E80,C13C20,B3EF70,B40EB0
ovl_En_Firefly,C13C20,C15D90,B40EB0,B42530
ovl_En_Horse,C15D90,C21FF0,B42530,B49D30
ovl_En_Arrow,C21FF0,C236E0,B49D30,B4ADB0
ovl_En_Elf,C236E0,C280A0,B4ADB0,B4DD60
ovl_En_Niw,C280A0,C2B3D0,B4DD60,B50240
ovl_En_Tite,C2B3D0,C2E170,B50240,B51D00
ovl_En_Reeba,C2E170,C2FBE0,B51D00,B53000
ovl_En_Peehat,C2FBE0,C332E0,B53000,B552D0
ovl_En_Holl,C332E0,C342B0,B552D0,B55E70
ovl_En_Scene_Change,C342B0,C343E0,B55E70,B55F60
ovl_En_Zf,C343E0,C3AED0,B55F60,B5A3D0
ovl_En_Hata,C3AED0,C3B460,B5A3D0,B5A8D0
ovl_Boss_Dodongo,C3B460,C44F40,B5A8D0,B60B70
ovl_Boss_Goma,C44F40,C4AEC0,B60B70,B64520
ovl_En_Zl1,C4AEC0,C4ECC0,B64520,B66450
ovl_En_Viewer,C4ECC0,C51B70,B66450,B68380
ovl_En_Goma,C51B70,C54800,B68380,B6A120
ovl_Bg_Pushbox,C54800,C54B00,B6A120,B6A3B0
ovl_En_Bubble,C54B00,C55F20,B6A3B0,B6B310
ovl_Door_Shutter,C55F20,C581A0,B6B310,B6CBD0
ovl_En_Dodojr,C581A0,C5A040,B6CBD0,B6E120
ovl_En_Bdfire,C5A040,C5ABD0,B6E120,B6EA10
ovl_En_Boom,C5ABD0,C5B490,B6EA10,B6F150
ovl_En_Torch2,C5B490,C5DBF0,B6F150,B70DF0
ovl_En_Bili,C5DBF0,C5FEC0,B70DF0,B72620
