offset,vram,.text
0,801C4F00,z_n64dd
1100,801C5FC0,n64dd_001180
1A50,801C6910,n64dd_001AC0
2550,801C7410,n64dd_0025C0
2C70,801C7B30,n64dd_002CF0
31B0,801C8070,n64dd_003230
3840,801C8700,n64dd_0038C0
38D0,801C8790,n64dd_003950
3D40,801C8C00,n64dd_003DC0
4740,801C9600,n64dd_0047C0
4DD0,801C9C90,n64dd_004E50
4E30,801C9CF0,n64dd_004EB0
4FF0,801C9EB0,n64dd_005070
5140,801CA000,n64dd_0051C0
5290,801CA150,n64dd_005310
5480,801CA340,n64dd_005500
5E90,801CAD50,n64dd_005F10
7220,801CC0E0,n64dd_0072A0
72F0,801CC1B0,n64dd_007370
73A0,801CC260,n64dd_007420
7440,801CC300,n64dd_0074C0
7690,801CC550,n64dd_007710
7730,801CC5F0,n64dd_0077B0
7780,801CC640,n64dd_007800
78E0,801CC7A0,n64dd_007960
7A00,801CC8C0,n64dd_007A80
7CA0,801CCB60,n64dd_007D20
81B0,801CD070,n64dd_008230
B140,801D0000,n64dd_00B1C0
B270,801D0130,n64dd_00B2F0
B4B0,801D0370,n64dd_00B530
BDB0,801D0C70,n64dd_00BE30
BE50,801D0D10,n64dd_00BED0

offset,vram,.data
BF50,801D0E50,z_n64dd

offset,vram,.rodata
11F00,801D6E00,z_n64dd

offset,vram,.bss
12C90,801D7B90,z_n64dd
20910,801E5810,.end
