80000B94,D_80000A54
80000F30,DmaMgr_SendRequest1
80001760,osDriveRomInit
800019F0,StackCheck_Init
80001DDC,Sleep_Usec
80001E2C,Sleep_Msec
80001F10,__osPiGetAccess
80001F54,__osPiRelAccess
80001F80,osSendMesg
800020D0,osStopThread
800021A0,osRecvMesg
80002348,__ull_div
80002448,__ll_mul
80002CBC,__osEnqueueThread
80002D04,__osPopThread
80002EE0,osDestroyThread
80002FF0,bzero
80003090,osCreateThread
800035B0,osWritebackDCache
80003630,osViGetNextFramebuffer
80003D40,osViBlack
80003E20,osSetIntMask
80004110,osSetEventMesg
80004220,osEPiStartDma
80004380,osCreateMesgQueue
800043B0,osInvalDCache
800045E0,osSetThreadPri
800046C0,osGetThreadPri
80004890,__osEPiRawStartDma
80004A70,osGetTime
80004F70,bcopy
800052E0,__osDisableInt
80005350,__osRestoreInt
800057E0,osEPiReadIo
80005B10,osEPiWriteIo
800061E0,osStartThread
800064C0,__osSetHWIntrRoutine
800AD4D0,func_800D31A0_Freeze
800AD500,IrqMgr_AddClient
800AD58C,IrqMgr_RemoveClient
800ADBD0,func_800AD4C0
800ADC2C,func_800AD51C
800AFE34,Fault_AddHungupAndCrash
800C809C,func_800C785C
800C813C,func_800C78FC
800CF0C0,PrintUtils_VPrintf
800D4A90,bcmp
801C9CD0,LeoGetAAdr2
801CD0B0,LeoGetKAdr
801CDBB0,LeoGetAAdr
