Function,Notes,ner,ne0,ne1,np0,ne2,np1,cjo,cjm,ceo,cem,cpo,cpod1,cpod2,cpm,cpmd,cjc,iqs,iqt
,,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM,VRAM
cleararena,,,80000460,,,,,,,,,,,,80000460,80000460,,,
bootproc,,,80000498,,,,,,,,,,,,80000498,80000498,,,
,,,,,,,,,,,,,,,,,,,
DmaMgr_Init,,,80000E6C,,,,,,,,,,,,,8000183C,,,
DmaMgr_SendRequest1,,80000DF0,80000DF0,80000DF0,80000F30,80000F80,80000F30,,,,,,,,80000E5C,80001AA0,,,
,,,,,,,,,,,,,,,,,,,
__assert,,,,,,,,,,,,,,,,80001FF0,,,
,,,,,,,,,,,,,,,,,,,
osSyncPrintf,,,800015BC,,,,,,,,,,,,,80002130,,,
,,,,,,,,,,,,,,,,,,,
bzero,,80002E80,80002E80,80002E80,80002FF0,80003040,80002FF0,,,,,,,,,80004450,,,
,,,,,,,,,,,,,,,,,,,
osGetTime,,,800048C0,,,,,,,,,,,,,800069E0,,,
,,,,,,,,,,,,,,,,,,,
gMainThread,,,80007220,,,,,,,,,,,,,80012D60,,,
,,,,,,,,,,,,,,,,,,,
EnAObj_SetupAction,,,800110A0,,,,,,,,,,,,80010F00,8001CE60,,,
func_8001D234,,,80011478,,,,,,,,,,,,,8001D234,,,
func_8001D310,,,80011554,,,,,,,,,,,,,8001D310,,,
func_8001D480,,,800116C4,,,,,,,,,,,,,8001D480,,,
func_8001D5C8,,,8001180C,,,,,,,,,,,,,8001D5C8,,,
,,,,,,,,,,,,,,,,,,,
EnItem00_SetupAction,,,,,,,,,,,,,,,,,,,
Item_DropCollectibleRandom,,,80013A84,,,,,,,,,,,,,8001F940,,,
,,,,,,,,,,,,,,,,,,,
EffectBlure_AddVertex,,,80013F30,,,,,,,,,,,,,8001FDF0,,,
,,,,,,,,,,,,,,,,,,,
func_80026230,,,8001A0E0,,,,,,,,,,,,,80026230,,,
func_80026A6C,,,8001A83C,,,,,,,,,,,,,80026A6C,,,
,,,,,,,,,,,,,,,,,,,
Effect_GetByIndex,,,8001A890,,,,,,,,,,,,,80026B0C,,,
Effect_Add,,,8001AA5C,,,,,,,,,,,,,80026CD4,,,
,,,,,,,,,,,,,,,,,,,
Actor_ShapeInit,,,8001EC20,,,,,,,,,,,,,8002B1E0,,,
Actor_Kill,,,80020EB4,,,,,,,,,,,,,8002D570,,,
Actor_SetScale,,,80020F88,,,,,,,,,,,,,8002D62C,,,
Actor_MoveForward,,,8002121C,,,,,,,,,,,,,8002D8E0,,,
Actor_UpdateBgCheckInfo,,,80021E6C,,,,,,,,,,,,,8002E4B4,,,
func_8002EABC,,,800223C8,,,,,,,,,,,,,8002EABC,,,
func_8002F194,,,80022930,,,,,,,,,,,,,8002F194,,,
func_8002F2F4,,,80022A90,,,,,,,,,,,,,8002F2F4,,,
