,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,
File,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_n64dd,,,12C20,801D98A0,8310,12D10,801D9B90,7180,12CF0,801D9D30,,12C90,801D7B50,,12CD0,801DA410,,12C90,801D7B90,
n64dd_801C8000,,,1AF30,801E1BB0,,19E90,801E0D10,250,,,,,,,,,,,,
n64dd_801C8940,,,,,,1A0E0,801E0F60,10,,,,,,,,,,,,
n64dd_801C9440,,,,,,1A0F0,801E0F70,10,,,,,,,,,,,,
n64dd_801C9B70,,,,,,1A100,801E0F80,4200,,,,,,,,,,,,
leofunc,,,,,,1E300,801E5180,20,,,,,,,,,,,,
leoram,,,,,,1E320,801E51A0,D00,,,,,,,,,,,,
leoint,,,,,,1F020,801E5EA0,20,,,,,,,,,,,,
leocmdex,,,,,,1F040,801E5EC0,30,,,,,,,,,,,,
leodiskinit,,,,,,1F070,801E5EF0,80,,,,,,,,,,,,
leomecha,,,,,,1F0F0,801E5F70,10,,,,,,,,,,,,
leotempbuffer,,,,,,1F100,801E5F80,F0,,,,,,,,,,,,
leoc2_syndrome,,,,,,1F1F0,801E6070,740,,,,,,,,,,,,
leoc2ecc,,,,,,1F930,801E67B0,10,,,,,,,,,,,,
leomseq_tbl,,,,,,1F940,801E67C0,40,,,,,,,,,,,,
leoglobals,,,,,,1F980,801E6800,10,,,,,,,,,,,,
leointerrupt,,,,,,1F990,801E6810,1000,,,,,,,,,,,,
.end,,,21A30,801E86B0,,20990,801E7810,,20970,801E79B0,,20910,801E57D0,,20950,801E8090,,20910,801E5810,
