,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,
File,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_n64dd,,,BED0,801D2B50,10,BFD0,801D2E50,10,BFB0,801D2FF0,10,BF50,801D0E10,10,BF90,801D36D0,10,BF50,801D0E50,10
n64dd_801C8000,,,BEE0,801D2B60,60,BFE0,801D2E60,60,BFC0,801D3000,60,BF60,801D0E20,60,BFA0,801D36E0,60,BF60,801D0E60,60
n64dd_801C9440,,,BF40,801D2BC0,10,C040,801D2EC0,10,C020,801D3060,10,BFC0,801D0E80,10,C000,801D3740,10,BFC0,801D0EC0,10
n64dd_error_headers,,Error strings,BF50,801D2BD0,10,C050,801D2ED0,10,C030,801D3070,10,BFD0,801D0E90,10,C010,801D3750,10,BFD0,801D0ED0,10
n64dd_error_bodies,,Error strings,BF60,801D2BE0,100,C060,801D2EE0,100,C040,801D3080,100,BFE0,801D0EA0,100,C020,801D3760,100,BFE0,801D0EE0,100
n64dd_801D2FE0,,Error textures arrays,C060,801D2CE0,5B80,C160,801D2FE0,5B80,C140,801D3180,5B80,C0E0,801D0FA0,5B80,C120,801D3860,5B80,C0E0,801D0FE0,5B80
n64dd_801CA0B0,,,11BE0,801D8860,210,11CE0,801D8B60,210,11CC0,801D8D00,210,11C60,801D6B20,210,11CA0,801D93E0,210,11C60,801D6B60,210
leocmdex,,,11DF0,801D8A70,60,11EF0,801D8D70,60,11ED0,801D8F10,60,11E70,801D6D30,60,11EB0,801D95F0,60,11E70,801D6D70,60
leord_diskid,,,11E50,801D8AD0,20,11F50,801D8DD0,20,11F30,801D8F70,20,11ED0,801D6D90,20,11F10,801D9650,20,11ED0,801D6DD0,20
createleomanager,,,11E70,801D8AF0,10,11F70,801D8DF0,10,11F50,801D8F90,10,11EF0,801D6DB0,10,11F30,801D9670,10,11EF0,801D6DF0,10
