,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,
File,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_n64dd,,,11E80,801D8B00,40,11F80,801D8E00,30,11F60,801D8FA0,,11F00,801D6DC0,,11F40,801D9680,,11F00,801D6E00,
n64dd_801C8000,,,11EC0,801D8B40,40,11FB0,801D8E30,40,,,,,,,,,,,,
n64dd_801C8940,,,11F00,801D8B80,D0,11FF0,801D8E70,D0,,,,,,,,,,,,
n64dd_801D8F40,,strings,11FD0,801D8C50,30,120C0,801D8F40,30,,,,,,,,,,,,
n64dd_801D8F70,,strings,12000,801D8C80,420,120F0,801D8F70,420,,,,,,,,,,,,
n64dd_801CA0B0,,,12420,801D90A0,20,12510,801D9390,20,,,,,,,,,,,,
n64dd_801CA7D0,,,12440,801D90C0,10,12530,801D93B0,10,,,,,,,,,,,,
n64dd_801CB640,,,12450,801D90D0,B0,12540,801D93C0,B0,,,,,,,,,,,,
n64dd_801CC190,,,12500,801D9180,10,125F0,801D9470,10,,,,,,,,,,,,
n64dd_801CC380,,,12510,801D9190,70,12600,801D9480,70,,,,,,,,,,,,
n64dd_801D94F0,,Rodata is used in multiple places,12580,801D9200,1E0,12670,801D94F0,1E0,,,,,,,,,,,,
n64dd_801D96D0,,Rodata is used in multiple places,12760,801D93E0,400,12850,801D96D0,400,,,,,,,,,,,,
n64dd_801D9AD0,,,12B60,801D97E0,20,12C50,801D9AD0,20,,,,,,,,,,,,
n64dd_801D9AF0,,,12B80,801D9800,80,12C70,801D9AF0,80,,,,,,,,,,,,
n64dd_801CEBA0,,,12C00,801D9880,20,12CF0,801D9B70,20,,,,,,,,,,,,
