,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,
File,Flags,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_n64dd,-O2 -g3,,0,801C6C80,1090,0,801C6E80,1170,0,801C7040,1130,0,801C4EC0,1100,0,801C7740,,0,801C4F00,1100
[PADDING],,,1090,801C7D10,10,1170,801C7FF0,10,1130,801C8170,10,-,-,-,-,-,-,-,-,-
n64dd_801C8000,,,10A0,801C7D20,940,1180,801C8000,940,1140,801C8180,950,1100,801C5FC0,950,1120,801C8860,950,1100,801C5FC0,950
n64dd_801C8940,,,19E0,801C8660,AD0,1AC0,801C8940,B00,1A90,801C8AD0,B00,1A50,801C6910,B00,1A70,801C91B0,B00,1A50,801C6910,B00
n64dd_801C9440,-O2 -g3,Glyph lookup,24B0,801C9130,730,25C0,801C9440,730,2590,801C95D0,730,2550,801C7410,720,2570,801C9CB0,730,2550,801C7410,720
n64dd_801C9B70,-O2 -g3,Error message fetching,2BE0,801C9860,540,2CF0,801C9B70,540,2CC0,801C9D00,540,2C70,801C7B30,540,2CA0,801CA3E0,540,2C70,801C7B30,540
n64dd_801CA0B0,,,3120,801C9DA0,690,3230,801CA0B0,690,3200,801CA240,690,31B0,801C8070,690,31E0,801CA920,690,31B0,801C8070,690
n64dd_801CA740,,,37B0,801CA430,90,38C0,801CA740,90,3890,801CA8D0,90,3840,801C8700,90,3870,801CAFB0,90,3840,801C8700,90
leofunc,,,3840,801CA4C0,470,3950,801CA7D0,470,3920,801CA960,470,38D0,801C8790,470,3900,801CB040,470,38D0,801C8790,470
[PADDING],,,3CB0,801CA930,10,-,-,-,3D90,801CADD0,10,-,-,-,3D70,801CB4B0,10,-,-,-
leoint,,,3CC0,801CA940,A00,3DC0,801CAC40,A00,3DA0,801CADE0,A00,3D40,801C8C00,A00,3D80,801CB4C0,A00,3D40,801C8C00,A00
leocmdex,,,46C0,801CB340,690,47C0,801CB640,690,47A0,801CB7E0,690,4740,801C9600,690,4780,801CBEC0,690,4740,801C9600,690
n64dd_801CBCD0,,Handwritten (add),4D50,801CB9D0,60,4E50,801CBCD0,60,4E30,801CBE70,60,4DD0,801C9C90,60,4E10,801CC550,60,4DD0,801C9C90,60
leoread,,,4DB0,801CBA30,1C0,4EB0,801CBD30,1C0,4E90,801CBED0,1C0,4E30,801C9CF0,1C0,4E70,801CC5B0,1C0,4E30,801C9CF0,1C0
lbatobyte,,,4F70,801CBBF0,150,5070,801CBEF0,150,5050,801CC090,150,4FF0,801C9EB0,150,5030,801CC770,150,4FF0,801C9EB0,150
leoinquiry,,,50C0,801CBD40,B0,51C0,801CC040,B0,51A0,801CC1E0,B0,5140,801CA000,B0,5180,801CC8C0,B0,5140,801CA000,B0
n64dd_801CC0F0,,,5170,801CBDF0,A0,5270,801CC0F0,A0,5250,801CC290,A0,51F0,801CA0B0,A0,5230,801CC970,A0,51F0,801CA0B0,A0
seek,,,5210,801CBE90,60,5310,801CC190,60,52F0,801CC330,60,5290,801CA150,60,52D0,801CCA10,60,5290,801CA150,60
leord_diskid,,,5270,801CBEF0,190,5370,801CC1F0,190,5350,801CC390,190,52F0,801CA1B0,190,5330,801CCA70,190,52F0,801CA1B0,190
leomecha,,,5400,801CC080,8B0,5500,801CC380,8B0,54E0,801CC520,8B0,5480,801CA340,8B0,54C0,801CCC00,8B0,5480,801CA340,8B0
n64dd_801CCC30,,,5CB0,801CC930,A0,5DB0,801CCC30,A0,5D90,801CCDD0,A0,5D30,801CABF0,A0,5D70,801CD4B0,A0,5D30,801CABF0,A0
spdlmotor,,,5D50,801CC9D0,C0,5E50,801CCCD0,C0,5E30,801CCE70,C0,5DD0,801CAC90,C0,5E10,801CD550,C0,5DD0,801CAC90,C0
leoc2ecc,,,5E10,801CCA90,10F0,5F10,801CCD90,10F0,5EF0,801CCF30,10F0,5E90,801CAD50,10F0,5ED0,801CD610,10F0,5E90,801CAD50,10F0
leomseq_tbl,,,6F00,801CDB80,1B0,7000,801CDE80,1B0,6FE0,801CE020,1B0,6F80,801CBE40,1B0,6FC0,801CE700,1B0,6F80,801CBE40,1B0
leomotor,,,70B0,801CDD30,F0,71B0,801CE030,F0,7190,801CE1D0,F0,7130,801CBFF0,F0,7170,801CE8B0,F0,7130,801CBFF0,F0
n64dd_801CE120,,,71A0,801CDE20,D0,72A0,801CE120,D0,7280,801CE2C0,D0,7220,801CC0E0,D0,7260,801CE9A0,D0,7220,801CC0E0,D0
leomode_sel,,,7270,801CDEF0,B0,7370,801CE1F0,B0,7350,801CE390,B0,72F0,801CC1B0,B0,7330,801CEA70,B0,72F0,801CC1B0,B0
leord_capa,,,7320,801CDFA0,A0,7420,801CE2A0,A0,7400,801CE440,A0,73A0,801CC260,A0,73E0,801CEB20,A0,73A0,801CC260,A0
leoutil,,,73C0,801CE040,250,74C0,801CE340,250,74A0,801CE4E0,250,7440,801CC300,250,7480,801CEBC0,250,7440,801CC300,250
leorezero,,,7610,801CE290,A0,7710,801CE590,A0,76F0,801CE730,A0,7690,801CC550,A0,76D0,801CEE10,A0,7690,801CC550,A0
clearqueue,,,76B0,801CE330,50,77B0,801CE630,50,7790,801CE7D0,50,7730,801CC5F0,50,7770,801CEEB0,50,7730,801CC5F0,50
bytetolba,,,7700,801CE380,160,7800,801CE680,160,77E0,801CE820,160,7780,801CC640,160,77C0,801CEF00,160,7780,801CC640,160
leoreset,,,7860,801CE4E0,120,7960,801CE7E0,120,7940,801CE980,120,78E0,801CC7A0,120,7920,801CF060,120,78E0,801CC7A0,120
leotranslat,,,7980,801CE600,2A0,7A80,801CE900,2A0,7A60,801CEAA0,2A0,7A00,801CC8C0,2A0,7A40,801CF180,2A0,7A00,801CC8C0,2A0
leotimer,,,7C20,801CE8A0,510,7D20,801CEBA0,510,7D00,801CED40,510,7CA0,801CCB60,510,7CE0,801CF420,510,7CA0,801CCB60,510
n64dd_801CF0B0,,"Handwritten (add, unaligned data)",8130,801CEDB0,B00,8230,801CF0B0,B00,8210,801CF250,B00,81B0,801CD070,B00,81F0,801CF930,B00,81B0,801CD070,B00
